iter	Passed	Remaining
0	113	113672
1	215	107488
2	312	103902
3	565	140794
4	700	139423
5	863	143092
6	982	139333
7	1084	134509
8	1175	129480
9	1263	125078
10	1360	122292
11	1581	130226
12	1826	138693
13	1935	136305
14	2039	133929
15	2165	133165
16	2257	130509
17	2460	134234
18	2628	135708
19	2761	135312
20	2895	135008
21	3003	133532
22	3111	132172
23	3211	130619
24	3336	130133
25	3491	130779
26	3601	129772
27	3708	128729
28	3829	128208
29	3926	126944
30	4030	125981
31	4121	124687
32	4389	128621
33	4754	135086
34	4910	135398
35	5064	135623
36	5167	134506
37	5293	134019
38	5443	134137
39	5543	133038
40	5691	133122
41	5793	132141
42	5906	131448
43	6064	131773
44	6250	132653
45	6427	133302
46	6586	133558
47	6718	133251
48	6862	133193
49	6997	132950
50	7168	133392
51	7290	132911
52	7417	132532
53	7534	131999
54	7660	131623
55	7768	130947
56	7864	130105
57	7950	129127
58	8055	128473
59	8161	127869
60	8291	127639
61	8403	127135
62	8507	126527
63	8640	126360
64	8759	126001
65	8885	125749
66	8986	125135
67	9121	125017
68	9247	124775
69	9396	124836
70	9513	124480
71	9617	123960
72	9730	123562
73	9990	125012
74	10335	127470
75	10457	127136
76	10574	126756
77	10682	126277
78	10816	126099
79	10959	126035
80	11096	125893
81	11239	125829
82	11428	126261
83	11549	125947
84	11682	125757
85	11789	125302
86	11937	125271
87	12060	124987
88	12178	124657
89	12282	124191
90	12422	124088
91	12538	123752
92	12648	123357
93	12745	122848
94	12880	122706
95	12991	122338
96	13101	121961
97	13199	121485
98	13360	121592
99	13658	122922
100	13847	123256
101	14001	123263
102	14110	122888
103	14245	122727
104	14460	123258
105	14738	124303
106	14872	124119
107	15010	123976
108	15139	123752
109	15244	123339
110	15342	122876
111	15517	123031
112	15621	122620
113	15739	122325
114	15855	122019
115	15970	121705
116	16072	121299
117	16185	120982
118	16288	120586
119	16403	120289
120	16540	120155
121	16644	119784
122	16772	119587
123	16871	119191
124	16984	118894
125	17087	118530
126	17187	118146
127	17287	117772
128	17397	117470
129	17555	117484
130	17654	117111
131	17760	116790
132	17885	116592
133	17984	116225
134	18092	115922
135	18215	115718
136	18336	115508
137	18465	115339
138	18619	115336
139	18823	115630
140	18957	115493
141	19143	115672
142	19338	115896
143	19500	115917
144	19619	115687
145	19750	115524
146	19865	115276
147	20044	115393
148	20146	115062
149	20263	114829
150	20379	114582
151	20564	114728
152	20738	114808
153	20872	114662
154	21025	114624
155	21158	114472
156	21253	114117
157	21354	113803
158	21493	113683
159	21696	113906
160	21841	113821
161	21958	113586
162	22101	113492
163	22478	114586
164	22754	115154
165	22895	115030
166	23160	115522
167	23483	116297
168	23973	117883
169	24319	118735
170	24410	118341
171	24537	118124
172	24669	117926
173	24775	117611
174	24888	117332
175	24967	116895
176	25080	116615
177	25170	116238
178	25272	115913
179	25372	115584
180	25457	115191
181	25557	114867
182	25686	114677
183	25787	114361
184	25850	113883
185	25913	113404
186	25972	112919
187	26037	112461
188	26111	112044
189	26180	111610
190	26249	111183
191	26315	110745
192	26381	110310
193	26455	109912
194	26521	109485
195	26582	109042
196	26637	108576
197	26695	108129
198	26751	107678
199	26810	107242
200	26869	106807
201	26924	106366
202	26979	105924
203	27035	105491
204	27093	105068
205	27149	104643
206	27207	104228
207	27269	103831
208	27323	103411
209	27383	103013
210	27441	102612
211	27496	102202
212	27552	101800
213	27616	101433
214	27696	101123
215	27751	100727
216	27810	100349
217	28086	100751
218	28355	101120
219	28492	101018
220	28628	100910
221	28784	100874
222	28918	100761
223	29018	100530
224	29130	100337
225	29422	100765
226	29786	101430
227	30038	101707
228	30339	102145
229	30465	101994
230	30603	101879
231	30769	101857
232	30919	101780
233	31184	102084
234	31647	103021
235	31865	103158
236	31954	102873
237	32070	102680
238	32300	102846
239	32539	103040
240	33113	104287
241	33548	105082
242	33744	105120
243	33870	104941
244	34024	104851
245	34351	105290
246	34731	105882
247	34909	105853
248	35328	106551
249	35475	106425
250	35691	106505
251	36125	107230
252	36505	107785
253	36633	107591
254	36712	107258
255	36799	106948
256	36978	106907
257	37121	106759
258	37208	106452
259	37303	106172
260	37400	105895
261	37498	105624
262	37587	105330
263	37672	105026
264	37760	104731
265	37841	104421
266	37933	104139
267	38018	103842
268	38096	103526
269	38185	103241
270	38273	102956
271	38354	102655
272	38450	102393
273	38535	102104
274	38629	101841
275	38741	101626
276	38889	101506
277	39001	101291
278	39084	101002
279	39157	100691
280	39253	100437
281	39368	100236
282	39451	99952
283	39532	99666
284	39624	99408
285	39762	99267
286	39879	99072
287	39958	98785
288	40050	98532
289	40128	98246
290	40213	97976
291	40289	97687
292	40361	97391
293	40501	97258
294	40607	97044
295	40698	96796
296	40781	96528
297	40887	96317
298	41049	96239
299	41156	96032
300	41271	95842
301	41359	95593
302	41469	95394
303	41660	95381
304	41914	95510
305	42114	95513
306	42237	95343
307	42320	95084
308	42401	94820
309	42481	94554
310	42561	94291
311	42638	94022
312	42723	93772
313	42803	93513
314	42881	93249
315	42972	93016
316	43067	92792
317	43220	92693
318	43296	92429
319	43409	92244
320	43489	91991
321	43646	91901
322	43787	91777
323	43873	91538
324	43951	91284
325	44055	91083
326	44205	90978
327	44283	90727
328	44367	90488
329	44445	90238
330	44587	90117
331	44691	89920
332	44775	89685
333	44881	89494
334	45040	89409
335	45119	89165
336	45198	88921
337	45365	88852
338	45454	88629
339	45534	88390
340	45611	88146
341	45686	87900
342	45759	87650
343	45850	87435
344	45926	87193
345	46004	86957
346	46116	86784
347	46253	86659
348	46384	86521
349	46478	86317
350	46579	86125
351	46730	86026
352	46857	85883
353	46950	85678
354	47034	85457
355	47130	85259
356	47224	85057
357	47314	84849
358	47411	84654
359	47501	84447
360	47588	84235
361	47681	84035
362	47777	83841
363	47870	83641
364	47958	83435
365	48047	83229
366	48136	83025
367	48224	82821
368	48322	82633
369	48421	82447
370	48503	82234
371	48600	82046
372	48689	81845
373	48800	81682
374	48887	81479
375	48977	81281
376	49063	81077
377	49151	80878
378	49230	80664
379	49309	80453
380	49408	80271
381	49489	80064
382	49578	79869
383	49666	79673
384	49744	79461
385	49827	79258
386	49914	79063
387	50008	78878
388	50092	78679
389	50172	78475
390	50253	78271
391	50341	78080
392	50435	77899
393	50518	77701
394	50603	77507
395	50686	77310
396	50776	77124
397	50863	76934
398	50941	76731
399	51018	76528
400	51104	76337
401	51187	76144
402	51273	75956
403	51353	75758
404	51440	75573
405	51524	75382
406	51617	75207
407	51700	75016
408	51782	74825
409	51857	74624
410	51950	74449
411	52036	74265
412	52119	74077
413	52213	73906
414	52302	73727
415	52395	73554
416	52471	73360
417	52563	73186
418	52640	72992
419	52724	72809
420	52811	72631
421	52900	72456
422	52986	72276
423	53065	72089
424	53146	71904
425	53230	71723
426	53327	71561
427	53415	71386
428	53501	71210
429	53595	71044
430	53697	70891
431	53783	70714
432	53876	70549
433	53962	70375
434	54045	70197
435	54127	70018
436	54210	69840
437	54298	69670
438	54379	69492
439	54461	69314
440	54541	69135
441	54625	68962
442	54711	68790
443	54795	68618
444	54868	68431
445	54961	68270
446	55046	68099
447	55118	67913
448	55203	67744
449	55294	67582
450	55384	67418
451	55461	67241
452	55557	67086
453	55633	66906
454	55696	66713
455	55790	66556
456	55878	66394
457	55963	66227
458	56045	66058
459	56139	65903
460	56221	65733
461	56310	65573
462	56396	65409
463	56473	65236
464	56555	65069
465	56638	64903
466	56722	64738
467	56813	64582
468	56896	64418
469	56965	64238
470	57057	64083
471	57145	63925
472	57235	63769
473	57320	63608
474	57411	63455
475	57496	63294
476	57588	63141
477	57676	62985
478	57758	62822
479	57837	62657
480	57922	62498
481	57996	62327
482	58088	62177
483	58173	62019
484	58259	61862
485	58342	61704
486	58431	61550
487	58515	61393
488	58601	61237
489	58686	61081
490	58769	60923
491	58855	60769
492	58943	60616
493	59012	60446
494	59100	60293
495	59182	60136
496	59263	59979
497	59362	59839
498	59437	59676
499	59521	59521
500	59609	59372
501	59691	59215
502	59794	59081
503	59929	58978
504	60179	58987
505	60437	59003
506	60606	58933
507	60959	59039
508	61107	58946
509	61193	58793
510	61260	58623
511	61326	58451
512	61405	58293
513	61470	58122
514	61538	57953
515	61606	57785
516	61672	57617
517	61738	57448
518	61807	57282
519	61878	57118
520	61936	56943
521	61992	56767
522	62050	56592
523	62113	56423
524	62170	56249
525	62231	56079
526	62290	55907
527	62356	55742
528	62419	55576
529	62474	55402
530	62532	55231
531	62587	55058
532	62646	54889
533	62699	54715
534	62753	54542
535	62807	54371
536	62867	54204
537	62922	54033
538	62982	53868
539	63036	53697
540	63091	53528
541	63148	53361
542	63202	53192
543	63257	53025
544	63313	52857
545	63369	52692
546	63419	52521
547	63480	52359
548	63532	52191
549	63589	52027
550	63644	51862
551	63702	51700
552	63753	51533
553	63810	51370
554	63863	51205
555	63923	51046
556	63972	50879
557	64030	50719
558	64086	50558
559	64145	50400
560	64199	50237
561	64256	50078
562	64312	49919
563	64371	49762
564	64429	49605
565	64489	49449
566	64546	49292
567	64600	49132
568	64662	48979
569	64719	48823
570	64781	48671
571	64837	48514
572	64896	48361
573	64953	48206
574	65014	48054
575	65072	47900
576	65129	47746
577	65189	47595
578	65244	47440
579	65298	47285
580	65354	47132
581	65409	46978
582	65464	46824
583	65519	46671
584	65578	46521
585	65633	46369
586	65692	46220
587	65748	46068
588	65803	45917
589	65857	45765
590	65909	45612
591	65964	45462
592	66018	45311
593	66081	45166
594	66137	45017
595	66192	44868
596	66244	44718
597	66299	44569
598	66353	44420
599	66415	44277
600	66466	44126
601	66521	43979
602	66578	43833
603	66632	43686
604	66686	43538
605	66742	43393
606	66798	43248
607	66851	43101
608	66918	42963
609	66985	42827
610	67046	42685
611	67102	42541
612	67157	42398
613	67209	42252
614	67266	42109
615	67323	41968
616	67377	41824
617	67431	41680
618	67486	41538
619	67536	41393
620	67591	41251
621	67644	41108
622	67699	40967
623	67753	40825
624	67804	40682
625	67858	40541
626	67910	40399
627	67965	40259
628	68019	40119
629	68070	39977
630	68130	39841
631	68182	39701
632	68234	39560
633	68293	39424
634	68345	39285
635	68398	39146
636	68451	39007
637	68506	38870
638	68564	38735
639	68621	38599
640	68672	38461
641	68725	38323
642	68779	38186
643	68833	38050
644	68890	37916
645	68945	37781
646	68998	37645
647	69051	37509
648	69106	37375
649	69159	37239
650	69214	37105
651	69269	36971
652	69324	36838
653	69378	36705
654	69431	36570
655	69486	36437
656	69541	36305
657	69596	36173
658	69655	36043
659	69710	35911
660	69763	35778
661	69821	35648
662	69873	35516
663	69929	35385
664	69980	35253
665	70040	35125
666	70093	34994
667	70146	34863
668	70205	34735
669	70258	34604
670	70430	34533
671	70539	34430
672	70645	34325
673	70741	34215
674	70834	34105
675	70925	33993
676	71012	33880
677	71107	33771
678	71206	33663
679	71296	33551
680	71384	33438
681	71481	33330
682	71572	33218
683	71710	33129
684	71936	33080
685	72106	33004
686	72264	32924
687	72362	32815
688	72452	32703
689	72551	32595
690	72641	32483
691	72734	32373
692	72834	32265
693	72935	32159
694	73029	32049
695	73111	31933
696	73207	31824
697	73296	31712
698	73385	31600
699	73487	31494
700	73571	31380
701	73666	31271
702	73755	31159
703	73836	31044
704	73927	30934
705	74019	30823
706	74094	30706
707	74192	30599
708	74282	30488
709	74380	30380
710	74467	30268
711	74562	30159
712	74658	30051
713	74749	29941
714	74832	29828
715	74991	29745
716	75160	29665
717	75310	29578
718	75404	29469
719	75490	29357
720	75583	29247
721	75673	29137
722	75757	29024
723	75850	28915
724	75931	28801
725	76019	28690
726	76113	28581
727	76196	28468
728	76284	28358
729	76385	28252
730	76484	28145
731	76570	28033
732	76655	27922
733	76750	27814
734	76836	27702
735	76924	27592
736	77015	27483
737	77097	27370
738	77185	27260
739	77280	27152
740	77370	27043
741	77458	26933
742	77550	26824
743	77629	26711
744	77723	26603
745	77816	26495
746	77904	26385
747	77988	26274
748	78069	26162
749	78162	26054
750	78244	25942
751	78327	25831
752	78409	25720
753	78485	25606
754	78578	25498
755	78659	25387
756	78748	25278
757	78828	25167
758	78916	25057
759	79006	24949
760	79090	24839
761	79168	24727
762	79253	24617
763	79335	24506
764	79422	24397
765	79510	24289
766	79596	24179
767	79682	24070
768	79780	23965
769	79859	23854
770	79946	23745
771	80029	23635
772	80111	23525
773	80193	23415
774	80270	23304
775	80378	23202
776	80467	23094
777	80546	22983
778	80632	22875
779	80724	22768
780	80808	22659
781	80892	22550
782	80973	22440
783	81060	22332
784	81154	22227
785	81245	22120
786	81338	22014
787	81422	21905
788	81506	21797
789	81589	21688
790	81675	21580
791	81760	21472
792	81837	21362
793	81936	21258
794	82006	21146
795	82090	21038
796	82177	20931
797	82258	20822
798	82343	20714
799	82441	20610
800	82526	20502
801	82609	20394
802	82701	20289
803	82783	20180
804	82872	20074
805	82957	19967
806	83038	19859
807	83120	19751
808	83207	19644
809	83301	19539
810	83383	19432
811	83468	19325
812	83541	19215
813	83636	19111
814	83730	19006
815	83818	18900
816	83902	18793
817	83972	18683
818	84064	18578
819	84150	18472
820	84234	18365
821	84318	18258
822	84402	18152
823	84484	18045
824	84571	17939
825	84649	17831
826	84737	17726
827	84818	17619
828	84894	17511
829	84975	17404
830	85055	17297
831	85143	17192
832	85228	17086
833	85315	16981
834	85403	16876
835	85489	16770
836	85572	16664
837	85659	16559
838	85746	16454
839	85841	16350
840	85929	16245
841	86020	16141
842	86105	16036
843	86205	15933
844	86296	15829
845	86390	15725
846	86465	15618
847	86556	15514
848	86645	15410
849	86734	15306
850	86821	15201
851	86899	15095
852	86982	14989
853	87056	14883
854	87148	14779
855	87235	14675
856	87320	14570
857	87397	14464
858	87483	14359
859	87567	14255
860	87650	14150
861	87748	14047
862	87824	13941
863	87919	13839
864	88000	13734
865	88088	13630
866	88174	13526
867	88254	13421
868	88347	13318
869	88434	13214
870	88519	13110
871	88607	13006
872	88686	12901
873	88778	12798
874	88868	12695
875	88950	12591
876	89030	12486
877	89111	12382
878	89187	12277
879	89302	12177
880	89391	12074
881	89481	11971
882	89563	11867
883	89657	11764
884	89746	11661
885	89825	11557
886	89909	11454
887	89980	11348
888	90038	11242
889	90133	11140
890	90221	11037
891	90302	10933
892	90393	10831
893	90483	10728
894	90570	10625
895	90653	10522
896	90749	10420
897	90829	10316
898	90916	10214
899	91002	10111
900	91081	10007
901	91162	9904
902	91252	9802
903	91329	9698
904	91424	9597
905	91515	9495
906	91590	9391
907	91668	9287
908	91760	9186
909	91849	9084
910	91941	8982
911	92024	8879
912	92115	8777
913	92212	8676
914	92301	8574
915	92390	8472
916	92468	8369
917	92556	8267
918	92646	8165
919	92724	8063
920	92822	7962
921	92924	7861
922	93091	7766
923	93211	7666
924	93342	7568
